,node_id,community,Betweenness,Out-degree,In-degree,Clustering,Type
1070283938394861568,1538813,E,49652174087.9158,24413.0,25.0,0.00010997996480944296,Other
241292536,5279112,A,14066779871.731081,24341.0,2.0,2.531073855949259e-06,Other
3850427354,4342,A,152915913795.17432,24301.0,966.0,0.0010736673582505563,Other
51263592,8603464,A,25907142100.57332,24293.0,18.0,0.00012404027384990544,Other
819945204891484160,1419307,A,30541890111.61245,24242.0,62.0,0.00014353924238226387,Other
1674302220,10160795,A,12847846692.99875,24237.0,5.0,1.835144239014502e-05,Other
201826636,9590714,A,14798357305.266691,24218.0,2.0,7.254007415195805e-05,Other
542199073,19970261,A,0.0,24127.0,0.0,0.00011660733378756358,Other
1237465626,5312865,A,11048007041.364414,24105.0,6.0,1.9595190447850816e-05,Other
953703109,7416120,E,27148336063.841244,24025.0,8.0,1.449320177928126e-05,Other
4054613059,2000047,E,13256034822.349133,23953.0,3.0,3.066368520865866e-05,Other
24861904,926130,A,164215921623.38986,23908.0,565.0,0.0005557479939440294,Other
943424485021143040,13847752,A,9032040097.444666,23835.0,2.0,1.9319930612881843e-05,Other
976984331628445696,2440011,A,6577254843.918619,23798.0,10.0,3.5309160729217117e-05,Other
1065042392171065344,3368688,A,7817011532.950918,23742.0,3.0,4.8930257126668604e-05,Other
24344973,33446,A,59961498057.96442,23705.0,212.0,0.0001810677335648591,Other
512971467,19825081,A,18034865016.40049,23686.0,1.0,2.280180476819994e-06,Other
1143232141729390592,6068859,A,0.0,23669.0,1.0,4.2543877340270755e-05,Other
866773346779791360,17339519,A,10841778651.765083,23560.0,2.0,2.0657112932252477e-05,Other
459328406,3921227,A,33243639781.409424,23538.0,16.0,2.7784217828267773e-05,Other
16247383,1077271,A,6272426046.49897,23474.0,797.0,0.00019442901504264636,Other
2258267107,2249202,A,24284855691.02481,23469.0,54.0,6.223419868229013e-05,Other
628776007,6869974,A,3915386171.7130504,23459.0,28.0,0.00017218985665716323,Other
448269268,9581753,A,37356833857.37391,23365.0,9.0,9.113272259718399e-06,Other
159393599,11628121,A,21488597097.800438,23357.0,3.0,1.536817814771564e-05,Other
28996832,872317,A,24355489738.049034,23355.0,109.0,0.00013447401745751326,Other
205531045,3325441,A,25276794123.20127,23207.0,116.0,0.00018309223291945108,Other
1142507119427670017,6041771,A,0.0,23112.0,0.0,1.0674924740468704e-05,Other
1226640393594380290,2013713,A,5448260943.817854,23067.0,10.0,6.873543198091761e-05,Other
1018920113767092224,10638,A,19563647944.263847,22924.0,38.0,0.0001059372555835925,Other
1618180562,8502225,A,4462118047.719062,22879.0,2.0,2.9902025351675612e-05,Other
88886265,2168712,E,8565261516.321959,22820.0,16.0,0.00031920773619777826,Other
1205661932717592576,7940899,A,3989811858.7043343,22790.0,3.0,3.930660512701253e-05,Other
39332843,12957985,E,10427017669.843048,22767.0,3.0,7.36566466089991e-05,Other
250434880,107345,A,31682048175.11926,22726.0,196.0,0.000566789192275446,Other
1726705790,12546931,A,0.0,22721.0,0.0,7.3172355161252445e-06,Other
65594160,600992,E,59610594193.60027,22542.0,57.0,0.00010130058698062345,Other
16331756,3762848,A,4978620654.943264,22516.0,66.0,0.00020644288506865827,Other
